mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;06/08/2020 - 08:09;190,83;98,94;4,81;22,37;21,48;;;;;;;;;;-8,9;;
;;06/08/2020 - 09:09;374,54;137,79;7,74;34,35;22,88;;;;;;;;;;-17,2;;
;;06/08/2020 - 10:09;565,49;154,33;10,46;46,16;24,21;;;;;;;;;;-25,2;;
;;06/08/2020 - 11:09;699,47;172,96;12,49;57,23;25,43;;;;;;;;;;-32,5;;
;;06/08/2020 - 12:09;574,19;302;12,63;66,21;26,42;;;;;;;;;;-38,4;;
;;06/08/2020 - 13:09;441,62;375,97;12,01;69,82;27,05;;;;;;;;;;-42,2;;
;;06/08/2020 - 14:09;385,52;374,32;11,37;65,51;26,38;;;;;;;;;;-38,2;;
;;06/08/2020 - 15:09;597,73;197,08;12,09;56,22;26,05;;;;;;;;;;-36,2;;
;;06/08/2020 - 16:09;484,02;149,67;10,21;45,04;26;;;;;;;;;;-35,9;;
;;06/08/2020 - 17:09;295,74;123,67;7,5;33,19;25,61;;;;;;;;;;-33,6;;
;;06/08/2020 - 18:09;94,62;102,16;4,28;21,22;25,69;;;;;;;;;;-34,0;;
;;06/08/2020 - 19:09;0;49,24;0,84;9,41;25,55;;;;;;;;;;-33,2;;
;;06/08/2020 - 20:09;0;0;0;0;24,89;;;;;;;;;;-29,3;;
;;06/08/2020 - 21:09;0;0;0;0;24,1;;;;;;;;;;-24,5;;
;;06/08/2020 - 22:09;0;0;0;0;23,66;;;;;;;;;;-21,9;;
;;06/08/2020 - 23:09;0;0;0;0;23,28;23,79;;23,8275;;;;;;;-19,6;;
;venerdì;07/08/2020 - 00:09;0;0;0;0;22,77;;;;;;;;;;-16,6;-496,17;
;;07/08/2020 - 01:09;0;0;0;0;22,32;;;;;;;;;;-13,9;;
;;07/08/2020 - 02:09;0;0;0;0;21,83;;;;;;;;;;-10,9;;
;;07/08/2020 - 03:09;0;0;0;0;21,6;;;;;;;;;;-9,6;;
;;07/08/2020 - 04:09;0;0;0;0;21,25;;;;;;;;;;-7,5;;
;;07/08/2020 - 05:09;0;0;0;0;20,87;;;;;;;;;;-5,2;;
;;07/08/2020 - 06:09;0;0;0;0;20,53;;;;;;;;;;-3,2;;
;;07/08/2020 - 07:09;29,71;52,08;1,79;10,4;20,53;;;;;;;;;;-3,2;;
;;07/08/2020 - 08:09;191,27;96,36;4,75;22,24;22,13;;;;;;;;;;-12,7;;
;;07/08/2020 - 09:09;376,29;134,1;7,68;34,22;23,28;;;;;;;;;;-19,6;;
;;07/08/2020 - 10:09;228,26;311,09;8,09;46,01;24,44;;;;;;;;;;-26,6;;
;;07/08/2020 - 11:09;154,86;389,9;8,33;57,06;25,48;;;;;;;;;;-32,8;;
;;07/08/2020 - 12:09;224,63;424,42;9,79;65,98;25,95;;;;;;;;;;-35,6;;
;;07/08/2020 - 13:09;633,95;279,18;13,2;69,54;25,8;;;;;;;;;;-34,7;;
;;07/08/2020 - 14:09;723,07;194,84;13,47;65,26;25,77;;;;;;;;;;-34,5;;
;;07/08/2020 - 15:09;627,13;174,54;12,16;56,01;25,98;;;;;;;;;;-35,8;;
;;07/08/2020 - 16:09;402,41;198,1;9,61;44,85;25,76;;;;;;;;;;-34,5;;
;;07/08/2020 - 17:09;186,83;189,91;6,52;33,02;25,53;;;;;;;;;;-33,1;;
;;07/08/2020 - 18:09;23,77;140,38;2,95;21,04;25,05;;;;;;;;;;-30,2;;
;;07/08/2020 - 19:09;0;53,63;0,92;9,22;24,51;;;;;;;;;;-27,0;;
;;07/08/2020 - 20:09;0;0;0;0;23,82;;;;;;;;;;-22,9;;
;;07/08/2020 - 21:09;0;0;0;0;22,8;;;;;;;;;;-16,8;;
;;07/08/2020 - 22:09;0;0;0;0;22,58;;;;;;;;;;-15,4;;
;;07/08/2020 - 23:09;0;0;0;0;22,35;23,46;;23,4025;;;;;;;-14,1;;
;sabato;08/08/2020 - 00:09;0;0;0;0;22;;;;;;;;;;-12,0;-604,94;
;;08/08/2020 - 01:09;0;0;0;0;21,55;;;;;;;;;;-9,3;;
;;08/08/2020 - 02:09;0;0;0;0;21,19;;;;;;;;;;-7,1;;
;;08/08/2020 - 03:09;0;0;0;0;20,93;;;;;;;;;;-5,6;;
;;08/08/2020 - 04:09;0;0;0;0;20,59;;;;;;;;;;-3,5;;
;;08/08/2020 - 05:09;0;0;0;0;20,33;;;;;;;;;;-2,0;;
;;08/08/2020 - 06:09;0;0;0;0;20,06;;;;;;;;;;-0,4;;
;;08/08/2020 - 07:09;24,97;54,64;1,67;10,26;20,25;;;;;;;;;;-1,5;;
;;08/08/2020 - 08:09;173,82;107;4,6;22,11;22,22;;;;;;;;;;-13,3;;
;;08/08/2020 - 09:09;323,07;164,35;7,32;34,09;23,9;;;;;;;;;;-23,3;;
;;08/08/2020 - 10:09;571,72;147,77;10,39;45,87;25,27;;;;;;;;;;-31,5;;
;;08/08/2020 - 11:09;680,59;182,69;12,3;56,89;26,32;;;;;;;;;;-37,8;;
;;08/08/2020 - 12:09;535,16;318,44;12,28;65,75;27,06;;;;;;;;;;-42,2;;
;;08/08/2020 - 13:09;109,97;434,93;8,49;69,26;27,55;;;;;;;;;;-45,2;;
;;08/08/2020 - 14:09;738,44;185,03;13,52;65;27,45;;;;;;;;;;-44,6;;
;;08/08/2020 - 15:09;628,04;174,84;12,15;55,8;27,29;;;;;;;;;;-43,6;;
;;08/08/2020 - 16:09;460,43;161,84;9,95;44,66;27,05;;;;;;;;;;-42,2;;
;;08/08/2020 - 17:09;285,11;127,99;7,32;32,84;27,23;;;;;;;;;;-43,3;;
;;08/08/2020 - 18:09;108,97;86,52;4,37;20,86;27,29;;;;;;;;;;-43,6;;
;;08/08/2020 - 19:09;0;46,6;0,8;9,04;26,72;;;;;;;;;;-40,2;;
;;08/08/2020 - 20:09;0;0;0;0;25,75;;;;;;;;;;-34,4;;
;;08/08/2020 - 21:09;0;0;0;0;24,94;;;;;;;;;;-29,6;;
;;08/08/2020 - 22:09;0;0;0;0;24,38;;;;;;;;;;-26,2;;
;;08/08/2020 - 23:09;0;0;0;0;23,79;24,21;;24,315;;;;;;;-22,7;;
;domenica;09/08/2020 - 00:09;0;0;0;0;23,29;;;;;;;;;;-19,7;-659,99;
;;09/08/2020 - 01:09;0;0;0;0;22,67;;;;;;;;;;-16,0;;
;;09/08/2020 - 02:09;0;0;0;0;22,11;;;;;;;;;;-12,6;;
;;09/08/2020 - 03:09;0;0;0;0;21,61;;;;;;;;;;-9,6;;
;;09/08/2020 - 04:09;0;0;0;0;21,21;;;;;;;;;;-7,2;;
;;09/08/2020 - 05:09;0;0;0;0;20,86;;;;;;;;;;-5,1;;
;;09/08/2020 - 06:09;0;0;0;0;20,58;;;;;;;;;;-3,5;;
;;09/08/2020 - 07:09;23,25;55;1,61;10,12;20,68;;;;;;;;;;-4,1;;
;;09/08/2020 - 08:09;174,19;106,33;4,57;21,98;22,8;;;;;;;;;;-16,8;;
;;09/08/2020 - 09:09;384,95;129,81;7,68;33,96;24,69;;;;;;;;;;-28,1;;
;;09/08/2020 - 10:09;531,02;174,29;10,16;45,73;25,9;;;;;;;;;;-35,3;;
;;09/08/2020 - 11:09;267,17;373,41;9,5;56,71;26,93;;;;;;;;;;-41,5;;
;;09/08/2020 - 12:09;108,19;422,18;8,24;65,51;27,62;;;;;;;;;;-45,6;;
;;09/08/2020 - 13:09;110,27;434,12;8,48;68,97;28,13;;;;;;;;;;-48,6;;
;;09/08/2020 - 14:09;95,66;415,55;8,03;64,74;28,64;;;;;;;;;;-51,7;;
;;09/08/2020 - 15:09;517,87;241,84;11,47;55,58;28,5;;;;;;;;;;-50,9;;
;;09/08/2020 - 16:09;349,34;228,01;9,17;44,47;28,18;;;;;;;;;;-48,9;;
;;09/08/2020 - 17:09;199,12;181,94;6,58;32,65;27,21;;;;;;;;;;-43,1;;
;;09/08/2020 - 18:09;12,88;134,43;2,54;20,67;26,34;;;;;;;;;;-37,9;;
;;09/08/2020 - 19:09;0;48,36;0,83;8,84;25,67;;;;;;;;;;-33,9;;
;;09/08/2020 - 20:09;0;0;0;0;24,96;;;;;;;;;;-29,7;;
;;09/08/2020 - 21:09;0;0;0;0;24,25;;;;;;;;;;-25,4;;
;;09/08/2020 - 22:09;0;0;0;0;23,93;;;;;;;;;;-23,5;;
;;09/08/2020 - 23:09;0;0;0;0;23,55;24,60;;24,7175;;;;;;;-21,2;;
;lunedì;10/08/2020 - 00:09;0;0;0;0;23,09;;;;;;;;;;-18,5;-737,11;
;;10/08/2020 - 01:09;0;0;0;0;22,63;;;;;;;;;;-15,7;;
;;10/08/2020 - 02:09;0;0;0;0;22,26;;;;;;;;;;-13,5;;
;;10/08/2020 - 03:09;0;0;0;0;21,94;;;;;;;;;;-11,6;;
;;10/08/2020 - 04:09;0;0;0;0;21,61;;;;;;;;;;-9,6;;
;;10/08/2020 - 05:09;0;0;0;0;21,27;;;;;;;;;;-7,6;;
;;10/08/2020 - 06:09;0;0;0;0;20,95;;;;;;;;;;-5,7;;
;;10/08/2020 - 07:09;18,81;56,61;1,49;9,98;21,02;;;;;;;;;;-6,1;;
;;10/08/2020 - 08:09;160,95;114,09;4,45;21,84;23,72;;;;;;;;;;-22,3;;
;;10/08/2020 - 09:09;357,56;146,78;7,5;33,82;25,57;;;;;;;;;;-33,3;;
;;10/08/2020 - 10:09;552,99;161,59;10,25;45,58;26,7;;;;;;;;;;-40,1;;
;;10/08/2020 - 11:09;530,76;268,5;11,41;56,53;27,62;;;;;;;;;;-45,6;;
;;10/08/2020 - 12:09;335,11;399,69;10,79;65,27;28,24;;;;;;;;;;-49,3;;
;;10/08/2020 - 13:09;759,38;209,66;13,85;68,68;28,72;;;;;;;;;;-52,2;;
;;10/08/2020 - 14:09;726,21;194,79;13,41;64,47;28,95;;;;;;;;;;-53,5;;
;;10/08/2020 - 15:09;618,02;181,41;12,03;55,36;28,92;;;;;;;;;;-53,4;;
;;10/08/2020 - 16:09;488,01;143,94;10,06;44,27;28,71;;;;;;;;;;-52,1;;
;;10/08/2020 - 17:09;147,92;207,35;6,04;32,46;28,28;;;;;;;;;;-49,5;;
;;10/08/2020 - 18:09;103,6;89,75;4,25;20,48;27,58;;;;;;;;;;-45,4;;
;;10/08/2020 - 19:09;0;47,48;0,81;8,64;26,59;;;;;;;;;;-39,4;;
;;10/08/2020 - 20:09;0;0;0;0;25,69;;;;;;;;;;-34,0;;
;;10/08/2020 - 21:09;0;0;0;0;24,8;;;;;;;;;;-28,7;;
;;10/08/2020 - 22:09;0;0;0;0;24,35;;;;;;;;;;-26,0;;
;;10/08/2020 - 23:09;0;0;0;0;23,99;25,13;;25,29;;;;;;;-23,9;;
;martedì;11/08/2020 - 00:09;0;0;0;0;23,61;;;;;;;;;;-21,6;-781,86;
;;11/08/2020 - 01:09;0;0;0;0;23,32;;;;;;;;;;-19,9;;
;;11/08/2020 - 02:09;0;0;0;0;23,08;;;;;;;;;;-18,4;;
;;11/08/2020 - 03:09;0;0;0;0;22,85;;;;;;;;;;-17,1;;
;;11/08/2020 - 04:09;0;0;0;0;22,51;;;;;;;;;;-15,0;;
;;11/08/2020 - 05:09;0;0;0;0;22,3;;;;;;;;;;-13,8;;
;;11/08/2020 - 06:09;0;0;0;0;22,1;;;;;;;;;;-12,6;;
;;11/08/2020 - 07:09;19,14;55,78;1,47;9,83;22,07;;;;;;;;;;-12,4;;
;;11/08/2020 - 08:09;168,59;109,71;4,48;21,71;23,99;;;;;;;;;;-23,9;;
;;11/08/2020 - 09:09;358,35;147,14;7,49;33,69;25,77;;;;;;;;;;-34,5;;
;;11/08/2020 - 10:09;544,61;168;10,19;45,43;27;;;;;;;;;;-41,9;;
;;11/08/2020 - 11:09;673,37;190,89;12,21;56,35;27,94;;;;;;;;;;-47,5;;
;;11/08/2020 - 12:09;757,6;198,76;13,5;65,03;28,61;;;;;;;;;;-51,5;;
;;11/08/2020 - 13:09;746,79;218,13;13,76;68,39;28,13;;;;;;;;;;-48,6;;
;;11/08/2020 - 14:09;700,42;212,29;13,26;64,2;28,64;;;;;;;;;;-51,7;;
;;11/08/2020 - 15:09;595,02;197,63;11,89;55,13;28,94;;;;;;;;;;-53,5;;
;;11/08/2020 - 16:09;453,19;166,59;9,82;44,06;28,72;;;;;;;;;;-52,2;;
;;11/08/2020 - 17:09;268,92;137,24;7,1;32,27;28,06;;;;;;;;;;-48,2;;
;;11/08/2020 - 18:09;43,19;131,94;3,32;20,29;27,4;;;;;;;;;;-44,3;;
;;11/08/2020 - 19:09;0;41,32;0,71;8,44;26,77;;;;;;;;;;-40,5;;
;;11/08/2020 - 20:09;0;0;0;0;25,9;;;;;;;;;;-35,3;;
;;11/08/2020 - 21:09;0;0;0;0;24,8;;;;;;;;;;-28,7;;
;;11/08/2020 - 22:09;0;0;0;0;24,35;;;;;;;;;;-26,0;;
;;11/08/2020 - 23:09;0;0;0;0;23,82;25,45;;25,67;;;;;;;-22,9;;
;mercoledì;12/08/2020 - 00:09;0;0;0;0;23,39;;;;;;;;;;-20,3;-802,14;
;;12/08/2020 - 01:09;0;0;0;0;23,01;;;;;;;;;;-18,0;;
;;12/08/2020 - 02:09;0;0;0;0;22,67;;;;;;;;;;-16,0;;
;;12/08/2020 - 03:09;0;0;0;0;22,43;;;;;;;;;;-14,5;;
;;12/08/2020 - 04:09;0;0;0;0;22,26;;;;;;;;;;-13,5;;
;;12/08/2020 - 05:09;0;0;0;0;22,11;;;;;;;;;;-12,6;;
;;12/08/2020 - 06:09;0;0;0;0;21,92;;;;;;;;;;-11,5;;
;;12/08/2020 - 07:09;22,26;53,73;1,52;9,69;21,95;;;;;;;;;;-11,7;;
;;12/08/2020 - 08:09;171,76;109,1;4,5;21,58;24,01;;;;;;;;;;-24,0;;
;;12/08/2020 - 09:09;364,27;145,6;7,52;33,55;25,54;;;;;;;;;;-33,1;;
;;12/08/2020 - 10:09;541,47;173,49;10,19;45,28;26,78;;;;;;;;;;-40,6;;
;;12/08/2020 - 11:09;680,98;190,35;12,27;56,16;27,84;;;;;;;;;;-46,9;;
;;12/08/2020 - 12:09;781,31;188,96;13,65;64,79;28,62;;;;;;;;;;-51,6;;
;;12/08/2020 - 13:09;799,84;191,06;14,07;68,09;29,05;;;;;;;;;;-54,1;;
;;12/08/2020 - 14:09;736,76;194,58;13,49;63,92;29,46;;;;;;;;;;-56,6;;
;;12/08/2020 - 15:09;613,96;189,11;12,01;54,89;29,46;;;;;;;;;;-56,6;;
;;12/08/2020 - 16:09;484,99;149,41;10,03;43,85;29,19;;;;;;;;;;-55,0;;
;;12/08/2020 - 17:09;287,63;127,06;7,25;32,07;28,61;;;;;;;;;;-51,5;;
;;12/08/2020 - 18:09;104,68;87,29;4,21;20,09;27,94;;;;;;;;;;-47,5;;
;;12/08/2020 - 19:09;0;44,84;0,77;8,23;27,11;;;;;;;;;;-42,5;;
;;12/08/2020 - 20:09;0;0;0;0;26,16;;;;;;;;;;-36,9;;
;;12/08/2020 - 21:09;0;0;0;0;25,37;;;;;;;;;;-32,1;;
;;12/08/2020 - 22:09;0;0;0;0;24,84;;;;;;;;;;-29,0;;
;;12/08/2020 - 23:09;0;0;0;0;24,35;25,59;;25,77;;;;;;;-26,0;;
;giovedì;13/08/2020 - 00:09;0;0;0;0;23,91;;;;;;;;;;-23,4;-947,95;
;;13/08/2020 - 01:09;0;0;0;0;23,51;;;;;;;;;;-21,0;;
;;13/08/2020 - 02:09;0;0;0;0;23,23;;;;;;;;;;-19,3;;
;;13/08/2020 - 03:09;0;0;0;0;22,97;;;;;;;;;;-17,8;;
;;13/08/2020 - 04:09;0;0;0;0;22,77;;;;;;;;;;-16,6;;
;;13/08/2020 - 05:09;0;0;0;0;22,55;;;;;;;;;;-15,3;;
;;13/08/2020 - 06:09;0;0;0;0;22,37;;;;;;;;;;-14,2;;
;;13/08/2020 - 07:09;23,25;52,86;1,52;9,55;22,41;;;;;;;;;;-14,4;;
;;13/08/2020 - 08:09;179,65;105,68;4,54;21,44;24,59;;;;;;;;;;-27,5;;
;;13/08/2020 - 09:09;367,2;146,03;7,53;33,41;27,01;;;;;;;;;;-41,9;;
;;13/08/2020 - 10:09;555,32;167,9;10,27;45,13;28,44;;;;;;;;;;-50,5;;
;;13/08/2020 - 11:09;685,45;190,8;12,3;55,98;29,52;;;;;;;;;;-57,0;;
;;13/08/2020 - 12:09;770,85;198,66;13,61;64,54;30,41;;;;;;;;;;-62,3;;
;;13/08/2020 - 13:09;805,41;190,43;14,1;67,79;30,96;;;;;;;;;;-65,6;;
;;13/08/2020 - 14:09;726,5;203,08;13,43;63,64;31,22;;;;;;;;;;-67,1;;
;;13/08/2020 - 15:09;616,98;189,49;12,03;54,65;31,14;;;;;;;;;;-66,7;;
;;13/08/2020 - 16:09;460,33;166,28;9,86;43,63;30,62;;;;;;;;;;-63,5;;
;;13/08/2020 - 17:09;278,05;133,93;7,16;31,86;30;;;;;;;;;;-59,8;;
;;13/08/2020 - 18:09;100,45;91,16;4,15;19,88;29,27;;;;;;;;;;-55,5;;
;;13/08/2020 - 19:09;0;44,84;0,77;8,02;28,26;;;;;;;;;;-49,4;;
;;13/08/2020 - 20:09;0;0;0;0;27,08;;;;;;;;;;-42,4;;
;;13/08/2020 - 21:09;0;0;0;0;25,96;;;;;;;;;;-35,7;;
;;13/08/2020 - 22:09;0;0;0;0;25,41;;;;;;;;;;-32,4;;
;;13/08/2020 - 23:09;0;0;0;0;24,83;26,60;;26,92;;;;;;;-28,9;;
;venerdì;14/08/2020 - 00:09;0;0;0;0;24,32;;;;;;;;;;-25,8;-1017,65;
;;14/08/2020 - 01:09;0;0;0;0;23,94;;;;;;;;;;-23,6;;
;;14/08/2020 - 02:09;0;0;0;0;23,64;;;;;;;;;;-21,8;;
;;14/08/2020 - 03:09;0;0;0;0;23,53;;;;;;;;;;-21,1;;
;;14/08/2020 - 04:09;0;0;0;0;23,38;;;;;;;;;;-20,2;;
;;14/08/2020 - 05:09;0;0;0;0;23,25;;;;;;;;;;-19,4;;
;;14/08/2020 - 06:09;0;0;0;0;23,12;;;;;;;;;;-18,7;;
;;14/08/2020 - 07:09;15,61;55,62;1,34;9,41;23,22;;;;;;;;;;-19,3;;
;;14/08/2020 - 08:09;144,51;121,63;4,21;21,31;25,27;;;;;;;;;;-31,5;;
;;14/08/2020 - 09:09;201,07;220,53;6,3;33,28;28,23;;;;;;;;;;-49,2;;
;;14/08/2020 - 10:09;559,72;161;10,19;44,98;29,8;;;;;;;;;;-58,6;;
;;14/08/2020 - 11:09;640,38;213,29;11,97;55,79;30,65;;;;;;;;;;-63,7;;
;;14/08/2020 - 12:09;733,41;217,28;13,32;64,28;30,96;;;;;;;;;;-65,6;;
;;14/08/2020 - 13:09;766,28;210,13;13,8;67,48;31,03;;;;;;;;;;-66,0;;
;;14/08/2020 - 14:09;704,73;212,39;13,21;63,35;30,91;;;;;;;;;;-65,3;;
;;14/08/2020 - 15:09;597,85;196,67;11,82;54,4;30,94;;;;;;;;;;-65,5;;
;;14/08/2020 - 16:09;389,02;205,01;9,31;43,41;30,82;;;;;;;;;;-64,7;;
;;14/08/2020 - 17:09;147,24;204,45;5,92;31,65;30,51;;;;;;;;;;-62,9;;
;;14/08/2020 - 18:09;64,32;115,63;3,59;19,67;29,78;;;;;;;;;;-58,5;;
;;14/08/2020 - 19:09;0;43,96;0,75;7,81;28,61;;;;;;;;;;-51,5;;
;;14/08/2020 - 20:09;0;0;0;0;27,32;;;;;;;;;;-43,8;;
;;14/08/2020 - 21:09;0;0;0;0;26,34;;;;;;;;;;-37,9;;
;;14/08/2020 - 22:09;0;0;0;0;25,52;;;;;;;;;;-33,0;;
;;14/08/2020 - 23:09;0;0;0;0;25;27,09;;27,425;;;;;;;-29,9;;
;sabato;15/08/2020 - 00:09;0;0;0;0;24,67;;;;;;;;;;-27,9;-1177,94;
;;15/08/2020 - 01:09;0;0;0;0;24,52;;;;;;;;;;-27,0;;
;;15/08/2020 - 02:09;0;0;0;0;24,34;;;;;;;;;;-26,0;;
;;15/08/2020 - 03:09;0;0;0;0;24,13;;;;;;;;;;-24,7;;
;;15/08/2020 - 04:09;0;0;0;0;23,94;;;;;;;;;;-23,6;;
;;15/08/2020 - 05:09;0;0;0;0;23,68;;;;;;;;;;-22,0;;
;;15/08/2020 - 06:09;0;0;0;0;23,37;;;;;;;;;;-20,2;;
;;15/08/2020 - 07:09;15,92;53,89;1,31;9,27;23,45;;;;;;;;;;-20,6;;
;;15/08/2020 - 08:09;145,71;121;4,19;21,17;25,52;;;;;;;;;;-33,0;;
;;15/08/2020 - 09:09;328,63;164,95;7,2;33,14;27,75;;;;;;;;;;-46,4;;
;;15/08/2020 - 10:09;509,57;191,49;9,91;44,82;29,46;;;;;;;;;;-56,6;;
;;15/08/2020 - 11:09;641,53;213,71;11,95;55,6;30,94;;;;;;;;;;-65,5;;
;;15/08/2020 - 12:09;735,74;217,71;13,32;64,03;32,15;;;;;;;;;;-72,7;;
;;15/08/2020 - 13:09;768,63;209,48;13,79;67,17;32,78;;;;;;;;;;-76,5;;
;;15/08/2020 - 14:09;719,49;204,7;13,27;63,06;33,01;;;;;;;;;;-77,8;;
;;15/08/2020 - 15:09;610,98;189,07;11,86;54,15;33,02;;;;;;;;;;-77,9;;
;;15/08/2020 - 16:09;454,33;166,87;9,71;43,19;32,91;;;;;;;;;;-77,2;;
;;15/08/2020 - 17:09;256,97;143,97;6,89;31,43;32,45;;;;;;;;;;-74,5;;
;;15/08/2020 - 18:09;91,25;94,78;3,94;19,46;31,57;;;;;;;;;;-69,2;;
;;15/08/2020 - 19:09;0;43,08;0,74;7,58;30,56;;;;;;;;;;-63,2;;
;;15/08/2020 - 20:09;0;0;0;0;29,53;;;;;;;;;;-57,0;;
;;15/08/2020 - 21:09;0;0;0;0;28,38;;;;;;;;;;-50,1;;
;;15/08/2020 - 22:09;0;0;0;0;27,72;;;;;;;;;;-46,2;;
;;15/08/2020 - 23:09;0;0;0;0;27,03;28,20;;28,4175;;;;;;;-42,1;;
;domenica;16/08/2020 - 00:09;0;0;0;0;26,38;;;;;;;;;;-38,2;-1093,46;
;;16/08/2020 - 01:09;0;0;0;0;25,89;;;;;;;;;;-35,2;;
;;16/08/2020 - 02:09;0;0;0;0;25,54;;;;;;;;;;-33,1;;
;;16/08/2020 - 03:09;0;0;0;0;25,26;;;;;;;;;;-31,5;;
;;16/08/2020 - 04:09;0;0;0;0;25,08;;;;;;;;;;-30,4;;
;;16/08/2020 - 05:09;0;0;0;0;24,76;;;;;;;;;;-28,5;;
;;16/08/2020 - 06:09;0;0;0;0;24,48;;;;;;;;;;-26,8;;
;;16/08/2020 - 07:09;19,86;51,82;1,37;9,12;24,22;;;;;;;;;;-25,2;;
;;16/08/2020 - 08:09;165,07;110,2;4,3;21,03;25,62;;;;;;;;;;-33,6;;
;;16/08/2020 - 09:09;353,36;150,82;7,31;33;27,6;;;;;;;;;;-45,5;;
;;16/08/2020 - 10:09;526,76;179,8;9,94;44,66;28,97;;;;;;;;;;-53,7;;
;;16/08/2020 - 11:09;663,35;199,85;12,01;55,4;29,94;;;;;;;;;;-59,5;;
;;16/08/2020 - 12:09;731,61;217,98;13,23;63,77;30,63;;;;;;;;;;-63,6;;
;;16/08/2020 - 13:09;749,57;218,94;13,62;66,86;31,15;;;;;;;;;;-66,7;;
;;16/08/2020 - 14:09;701,8;213,06;13,11;62,76;31,34;;;;;;;;;;-67,8;;
;;16/08/2020 - 15:09;605,96;190,36;11,77;53,89;31,38;;;;;;;;;;-68,1;;
;;16/08/2020 - 16:09;433,15;176,84;9,5;42,95;31,3;;;;;;;;;;-67,6;;
;;16/08/2020 - 17:09;259,04;140,48;6,84;31,21;30,63;;;;;;;;;;-63,6;;
;;16/08/2020 - 18:09;89,32;94,19;3,86;19,24;29,66;;;;;;;;;;-57,8;;
;;16/08/2020 - 19:09;0;41,32;0,71;7,36;28,5;;;;;;;;;;-50,9;;
;;16/08/2020 - 20:09;0;0;0;0;27,33;;;;;;;;;;-43,9;;
;;16/08/2020 - 21:09;0;0;0;0;26,21;;;;;;;;;;-37,2;;
;;16/08/2020 - 22:09;0;0;0;0;25,68;;;;;;;;;;-34,0;;
;;16/08/2020 - 23:09;0;0;0;0;25,21;27,62;;27,6325;;;;;;;-31,2;;
;lunedì;17/08/2020 - 00:09;0;0;0;0;24,93;;;;;;;;;;-29,5;-1052,35;
;;17/08/2020 - 01:09;0;0;0;0;24,73;;;;;;;;;;-28,3;;
;;17/08/2020 - 02:09;0;0;0;0;24,55;;;;;;;;;;-27,2;;
;;17/08/2020 - 03:09;0;0;0;0;24,44;;;;;;;;;;-26,6;;
;;17/08/2020 - 04:09;0;0;0;0;24,1;;;;;;;;;;-24,5;;
;;17/08/2020 - 05:09;0;0;0;0;23,77;;;;;;;;;;-22,6;;
;;17/08/2020 - 06:09;0;0;0;0;23,54;;;;;;;;;;-21,2;;
;;17/08/2020 - 07:09;20,28;51,02;1,35;8,98;23,66;;;;;;;;;;-21,9;;
;;17/08/2020 - 08:09;152,05;116,96;4,18;20,9;25,26;;;;;;;;;;-31,5;;
;;17/08/2020 - 09:09;333,31;161,78;7,16;32,86;27,53;;;;;;;;;;-45,1;;
;;17/08/2020 - 10:09;517,12;186,2;9,86;44,51;29,33;;;;;;;;;;-55,8;;
;;17/08/2020 - 11:09;651,57;207,35;11,92;55,2;30,08;;;;;;;;;;-60,3;;
;;17/08/2020 - 12:09;732,9;217,33;13,2;63,51;30,3;;;;;;;;;;-61,6;;
;;17/08/2020 - 13:09;735,78;227,44;13,52;66,54;30,79;;;;;;;;;;-64,6;;
;;17/08/2020 - 14:09;701,94;212,39;13,06;62,46;31,02;;;;;;;;;;-65,9;;
;;17/08/2020 - 15:09;606,01;190,72;11,74;53,63;31,35;;;;;;;;;;-67,9;;
;;17/08/2020 - 16:09;449,26;167,48;9,58;42,72;31,27;;;;;;;;;;-67,4;;
;;17/08/2020 - 17:09;253,46;142,65;6,75;30,99;31,06;;;;;;;;;;-66,2;;
;;17/08/2020 - 18:09;86,76;94,51;3,79;19,02;30,48;;;;;;;;;;-62,7;;
;;17/08/2020 - 19:09;0;39,57;0,68;7,13;29,38;;;;;;;;;;-56,1;;
;;17/08/2020 - 20:09;0;0;0;0;27,83;;;;;;;;;;-46,8;;
;;17/08/2020 - 21:09;0;0;0;0;25,98;;;;;;;;;;-35,8;;
;;17/08/2020 - 22:09;0;0;0;0;25,46;;;;;;;;;;-32,7;;
;;17/08/2020 - 23:09;0;0;0;0;25,05;27,33;;27,5625;;;;;;;-30,2;;
;martedì;18/08/2020 - 00:09;0;0;0;0;24,66;;;;;;;;;;-27,9;-1013,28;
;;18/08/2020 - 01:09;0;0;0;0;24,32;;;;;;;;;;-25,8;;
;;18/08/2020 - 02:09;0;0;0;0;24,05;;;;;;;;;;-24,2;;
;;18/08/2020 - 03:09;0;0;0;0;23,8;;;;;;;;;;-22,7;;
;;18/08/2020 - 04:09;0;0;0;0;23,55;;;;;;;;;;-21,2;;
;;18/08/2020 - 05:09;0;0;0;0;23,22;;;;;;;;;;-19,3;;
;;18/08/2020 - 06:09;0;0;0;0;22,71;;;;;;;;;;-16,2;;
;;18/08/2020 - 07:09;20,1;50,27;1,32;8,84;22,41;;;;;;;;;;-14,4;;
;;18/08/2020 - 08:09;164,06;112,78;4,27;20,76;24,32;;;;;;;;;;-25,8;;
