mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;04/01/2020 - 14:09;673,65;145,82;7,32;28,47;12,17;;;;;;;;;;46,8;;
;;04/01/2020 - 15:09;528,62;141,61;5,88;23,58;12,68;;;;;;;;;;43,8;;
;;04/01/2020 - 16:09;324,39;121,37;3,71;16,27;12,85;;;;;;;;;;42,8;;
;;04/01/2020 - 17:09;127,68;60,7;1,29;7,2;12,53;;;;;;;;;;44,7;;
;;04/01/2020 - 18:09;0;0;0;0;11,65;;;;;;;;;;50,0;;
;;04/01/2020 - 19:09;0;0;0;0;11,03;;;;;;;;;;53,7;;
;;04/01/2020 - 20:09;0;0;0;0;10,49;;;;;;;;;;56,9;;
;;04/01/2020 - 21:09;0;0;0;0;10,2;;;;;;;;;;58,6;;
;;04/01/2020 - 22:09;0;0;0;0;9,67;;;;;;;;;;61,8;;
;;04/01/2020 - 23:09;0;0;0;0;9,07;8,46;;8,1475;;;;;;;65,4;;
;domenica;05/01/2020 - 00:09;0;0;0;0;8,5;;;;;;;;;;68,8;1503,89;
;;05/01/2020 - 01:09;0;0;0;0;8,15;;;;;;;;;;70,9;;
;;05/01/2020 - 02:09;0;0;0;0;7,74;;;;;;;;;;73,4;;
;;05/01/2020 - 03:09;0;0;0;0;7,29;;;;;;;;;;76,0;;
;;05/01/2020 - 04:09;0;0;0;0;7,21;;;;;;;;;;76,5;;
;;05/01/2020 - 05:09;0;0;0;0;7,04;;;;;;;;;;77,5;;
;;05/01/2020 - 06:09;0;0;0;0;6,9;;;;;;;;;;78,4;;
;;05/01/2020 - 07:09;0;0;0;0;6,76;;;;;;;;;;79,2;;
;;05/01/2020 - 08:09;0;0;0;0;6,53;;;;;;;;;;80,6;;
;;05/01/2020 - 09:09;204,93;79,78;1,67;8,5;7,13;;;;;;;;;;77,0;;
;;05/01/2020 - 10:09;435,2;122,5;4,13;17,38;8,96;;;;;;;;;;66,1;;
;;05/01/2020 - 11:09;616,52;136,7;6,19;24,43;10,61;;;;;;;;;;56,2;;
;;05/01/2020 - 12:09;714,36;144,85;7,47;28,99;11,76;;;;;;;;;;49,3;;
;;05/01/2020 - 13:09;643,74;185,4;7,56;30,45;12,91;;;;;;;;;;42,4;;
;;05/01/2020 - 14:09;706,81;128,78;7,43;28,6;13,68;;;;;;;;;;37,8;;
;;05/01/2020 - 15:09;326,61;198,6;5,13;23,72;13,97;;;;;;;;;;36,1;;
;;05/01/2020 - 16:09;182,38;143,78;3,17;16,41;13,86;;;;;;;;;;36,7;;
;;05/01/2020 - 17:09;102,96;62,71;1,25;7,35;13,05;;;;;;;;;;41,6;;
;;05/01/2020 - 18:09;0;0;0;0;11,57;;;;;;;;;;50,4;;
;;05/01/2020 - 19:09;0;0;0;0;10,3;;;;;;;;;;58,0;;
;;05/01/2020 - 20:09;0;0;0;0;9,34;;;;;;;;;;63,8;;
;;05/01/2020 - 21:09;0;0;0;0;8,91;;;;;;;;;;66,4;;
;;05/01/2020 - 22:09;0;0;0;0;8,49;;;;;;;;;;68,9;;
;;05/01/2020 - 23:09;0;0;0;0;7,98;9,53;;9,2425;;;;;;;71,9;;
;lunedì;06/01/2020 - 00:09;0;0;0;0;7,42;;;;;;;;;;75,3;1991,09;
;;06/01/2020 - 01:09;0;0;0;0;6,84;;;;;;;;;;78,7;;
;;06/01/2020 - 02:09;0;0;0;0;6,13;;;;;;;;;;83,0;;
;;06/01/2020 - 03:09;0;0;0;0;5,39;;;;;;;;;;87,4;;
;;06/01/2020 - 04:09;0;0;0;0;4,94;;;;;;;;;;90,1;;
;;06/01/2020 - 05:09;0;0;0;0;4,51;;;;;;;;;;92,7;;
