;mercoledì;01/01/2020 - 00:09; 3.95
;11/01/2020 - 17:09;9.71
;11/01/2020 - 18:09;8.93
;11/01/2020 - 19:09;8.38
;11/01/2020 - 20:09;8.07
;11/01/2020 - 21:09;7.7
;11/01/2020 - 22:09;7.4
;11/01/2020 - 23:09;7.09
domenica;12/01/2020 - 00:09;7.01
;12/01/2020 - 01:09;6.81
;12/01/2020 - 02:09;6.69
;12/01/2020 - 03:09;6.53
;12/01/2020 - 04:09;6.3
;12/01/2020 - 05:09;6.16
;12/01/2020 - 06:09;5.92
;12/01/2020 - 07:09;5.76
;12/01/2020 - 08:09;6.52
;12/01/2020 - 09:09;8.07
;12/01/2020 - 10:09;9.59
;12/01/2020 - 11:09;10.77
;12/01/2020 - 12:09;11.37
;12/01/2020 - 13:09;11.61
;12/01/2020 - 14:09;11.32
;12/01/2020 - 15:09;10.85
;12/01/2020 - 16:09;10.77
;12/01/2020 - 17:09;10
;12/01/2020 - 18:09;8.98
;12/01/2020 - 19:09;8.5
;12/01/2020 - 20:09;8.33
;12/01/2020 - 21:09;7.88
;12/01/2020 - 22:09;7.69
;12/01/2020 - 23:09;7.63
lunedì;13/01/2020 - 00:09;7.46
;13/01/2020 - 01:09;7.34
;13/01/2020 - 02:09;7.44
;13/01/2020 - 03:09;7.71
;13/01/2020 - 04:09;7.51
;13/01/2020 - 05:09;7.52
;13/01/2020 - 06:09;7.4
;13/01/2020 - 07:09;7.3
;13/01/2020 - 08:09;7.97
;13/01/2020 - 09:09;9.23
;13/01/2020 - 10:09;10.48
;13/01/2020 - 11:09;11.36
;13/01/2020 - 12:09;12.03
;13/01/2020 - 13:09;12.18
;13/01/2020 - 14:09;12.21
;13/01/2020 - 15:09;11.96
;13/01/2020 - 16:09;11.44
;13/01/2020 - 17:09;10.61
;13/01/2020 - 18:09;9.9
;13/01/2020 - 19:09;9.27
;13/01/2020 - 20:09;8.92
;13/01/2020 - 21:09;8.59
;13/01/2020 - 22:09;8.4
;13/01/2020 - 23:09;8.42
martedì;14/01/2020 - 00:09;8.35
;14/01/2020 - 01:09;8.26
;14/01/2020 - 02:09;8.1
;14/01/2020 - 03:09;7.75
;14/01/2020 - 04:09;7.62
;14/01/2020 - 05:09;7.59
;14/01/2020 - 06:09;7.34
;14/01/2020 - 07:09;7.27
;14/01/2020 - 08:09;7.85
;14/01/2020 - 09:09;9.15
;14/01/2020 - 10:09;10.63
;14/01/2020 - 11:09;11.82
;14/01/2020 - 12:09;12.61
;14/01/2020 - 13:09;12.75
;14/01/2020 - 14:09;12.7
;14/01/2020 - 15:09;12.36
;14/01/2020 - 16:09;12
;14/01/2020 - 17:09;11.3
;14/01/2020 - 18:09;10.07
;14/01/2020 - 19:09;9.32
;14/01/2020 - 20:09;8.92
;14/01/2020 - 21:09;8.59
;14/01/2020 - 22:09;8.09
;14/01/2020 - 23:09;7.85
mercoledì;15/01/2020 - 00:09;7.69
;15/01/2020 - 01:09;7.54
;15/01/2020 - 02:09;7.28
;15/01/2020 - 03:09;6.97
;15/01/2020 - 04:09;6.7
;15/01/2020 - 05:09;6.57
;15/01/2020 - 06:09;6.4
;15/01/2020 - 07:09;6.25
;15/01/2020 - 08:09;6.81
;15/01/2020 - 09:09;9.07
;15/01/2020 - 10:09;11.09
;15/01/2020 - 11:09;12.19
;15/01/2020 - 12:09;12.79
;15/01/2020 - 13:09;13.14
;15/01/2020 - 14:09;13.27
;15/01/2020 - 15:09;13.19
;15/01/2020 - 16:09;12.82
;15/01/2020 - 17:09;11.83
;15/01/2020 - 18:09;10.76
;15/01/2020 - 19:09;10.23
;15/01/2020 - 20:09;9.81
;15/01/2020 - 21:09;9.43
;15/01/2020 - 22:09;8.85
;15/01/2020 - 23:09;8.12
giovedì;16/01/2020 - 00:09;6.91
;16/01/2020 - 01:09;5.76
;16/01/2020 - 02:09;5.46
;16/01/2020 - 03:09;5.38
;16/01/2020 - 04:09;5.54
;16/01/2020 - 05:09;5.57
;16/01/2020 - 06:09;5.27
;16/01/2020 - 07:09;4.96
;16/01/2020 - 08:09;5.3
;16/01/2020 - 09:09;8.22
;16/01/2020 - 10:09;11.13
;16/01/2020 - 11:09;12.33
;16/01/2020 - 12:09;12.94
;16/01/2020 - 13:09;13.15
;16/01/2020 - 14:09;13.11
;16/01/2020 - 15:09;12.9
;16/01/2020 - 16:09;12.39
;16/01/2020 - 17:09;11.34
;16/01/2020 - 18:09;10.2
;16/01/2020 - 19:09;9.05
;16/01/2020 - 20:09;8.42
;16/01/2020 - 21:09;7.96
;16/01/2020 - 22:09;7.98
;16/01/2020 - 23:09;7.07
venerdì;17/01/2020 - 00:09;6.24
;17/01/2020 - 01:09;5.44
;17/01/2020 - 02:09;5.14
;17/01/2020 - 03:09;4.92
;17/01/2020 - 04:09;4.63
;17/01/2020 - 05:09;4.34
;17/01/2020 - 06:09;4.11
;17/01/2020 - 07:09;3.96
;17/01/2020 - 08:09;4.44
;17/01/2020 - 09:09;8.16
;17/01/2020 - 10:09;11.11
;17/01/2020 - 11:09;12.18
;17/01/2020 - 12:09;12.48
;17/01/2020 - 13:09;12.42
;17/01/2020 - 14:09;12.55
;17/01/2020 - 15:09;12.46
;17/01/2020 - 16:09;12.04
;17/01/2020 - 17:09;11.07
;17/01/2020 - 18:09;10.16
;17/01/2020 - 19:09;9.4
;17/01/2020 - 20:09;9.15
;17/01/2020 - 21:09;9.28
;17/01/2020 - 22:09;8.39
;17/01/2020 - 23:09;7.81
sabato;18/01/2020 - 00:09;7.41
;18/01/2020 - 01:09;6.84
;18/01/2020 - 02:09;6.34
;18/01/2020 - 03:09;6.75
;18/01/2020 - 04:09;6.81
;18/01/2020 - 05:09;6.8
;18/01/2020 - 06:09;6.58
;18/01/2020 - 07:09;6.18
;18/01/2020 - 08:09;6.18
;18/01/2020 - 09:09;8.31
;18/01/2020 - 10:09;10.21
;18/01/2020 - 11:09;11.41
;18/01/2020 - 12:09;12.31
;18/01/2020 - 13:09;12.78
;18/01/2020 - 14:09;13.31
;18/01/2020 - 15:09;13.28
;18/01/2020 - 16:09;12.9
;18/01/2020 - 17:09;11.88
;18/01/2020 - 18:09;10.97
;18/01/2020 - 19:09;10.38
;18/01/2020 - 20:09;10.09
;18/01/2020 - 21:09;9.59
;18/01/2020 - 22:09;9.16
;18/01/2020 - 23:09;8.91
domenica;19/01/2020 - 00:09;8.56
;19/01/2020 - 01:09;8.16
;19/01/2020 - 02:09;7.54
;19/01/2020 - 03:09;7.32
;19/01/2020 - 04:09;7.13
;19/01/2020 - 05:09;6.94
;19/01/2020 - 06:09;6.69
;19/01/2020 - 07:09;6.35
;19/01/2020 - 08:09;6.85
;19/01/2020 - 09:09;8.87
;19/01/2020 - 10:09;10.75
;19/01/2020 - 11:09;11.7
;19/01/2020 - 12:09;12.3
;19/01/2020 - 13:09;12.67
;19/01/2020 - 14:09;12.74
;19/01/2020 - 15:09;12.55
;19/01/2020 - 16:09;11.98
